Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
Ken Wood,23,SLB,AL,10,26,24,2,2,0,1,0,2,0,0,1,4,0.083,0.12,0.167,0.287,-25,4,2,0,1,,,/O9
Junior Wooten,24,WSH,AL,88,291,258,34,66,8,3,1,23,2,1,24,21,0.256,0.324,0.322,0.646,74,83,4,2,7,,,O89/31
Ed Wright,29,BSN,NL,3,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Taffy Wright*,36,CHW,AL,134,499,455,50,127,15,6,4,61,2,1,38,18,0.279,0.341,0.365,0.706,91,166,13,5,1,,,*O9/7
Tom Wright*,24,BOS,AL,3,2,2,1,1,0,1,0,0,0,0,0,0,0.5,0.5,1.5,2,409,3,0,0,0,,,
Early Wynn#,28,WSH,AL,73,120,106,9,23,3,1,0,16,0,0,14,22,0.217,0.308,0.264,0.572,55,28,4,0,0,,,1
Johnny Wyrostek*,28,CIN,NL,136,567,512,74,140,24,9,17,76,7,,52,63,0.273,0.344,0.455,0.799,117,233,5,3,0,,,*O8
Ray Yochim,25,STL,NL,1,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Rudy York,34,PHA,AL,31,58,51,4,8,0,0,0,6,0,0,7,15,0.157,0.259,0.157,0.415,11,8,2,0,0,,,3
Eddie Yost,21,WSH,AL,145,648,555,74,138,32,11,2,50,4,3,82,51,0.249,0.349,0.357,0.706,90,198,15,4,7,,,*5
Babe Young*,32,TOT,NL,90,277,241,25,57,12,4,2,25,0,,35,18,0.237,0.333,0.344,0.678,83,83,3,0,1,,,3/9
Babe Young*,32,CIN,NL,49,150,130,11,30,7,2,1,12,0,,19,12,0.231,0.329,0.338,0.667,83,44,0,0,1,,,3/O9
Babe Young*,32,STL,NL,41,127,111,14,27,5,2,1,13,0,,16,6,0.243,0.339,0.351,0.69,82,39,3,0,0,,,3
Bobby Young*,23,STL,NL,3,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,-100,0,0,0,0,,,/5
Sal Yvars,24,NYG,NL,15,42,38,4,8,1,0,1,6,0,,3,1,0.211,0.286,0.316,0.602,62,12,1,1,0,,,2
Al Zarilla*,29,SLB,AL,144,596,529,77,174,39,3,12,74,11,6,48,48,0.329,0.389,0.482,0.871,129,255,8,4,15,,,*O987
Benny Zientara,30,CIN,NL,74,203,187,17,35,1,2,0,7,0,,12,11,0.187,0.236,0.214,0.45,24,40,8,0,5,,,4/56
Sam Zoldak*,29,TOT,AL,34,62,58,3,11,2,0,0,2,1,0,1,9,0.19,0.203,0.224,0.428,14,13,2,0,3,,,1
Sam Zoldak*,29,SLB,AL,11,23,22,3,6,1,0,0,2,1,0,0,3,0.273,0.273,0.318,0.591,55,7,0,0,1,,,1
Sam Zoldak*,29,CLE,AL,23,39,36,0,5,1,0,0,0,0,0,1,6,0.139,0.162,0.167,0.329,-11,6,2,0,2,,,1
